,comment,label
915,hack slow things ci,BUILD
916,todo revisit means factor,TEST
917,todo revisit means factor,TEST
918,i think s bug celllimits fills start row,DEFECT
919,i think s bug celllimits fills start column,DEFECT
920,cell listcolumn tibble addrow insertshims work increased typestrictness coming tibble v30 todo maybe use even realistic celltype object helpers better,DESIGN
921,workaround,CODE
922,workaround,CODE
924,hardcoded maximum number weeks ideal,CODE
925,version hardcoded argument qwindow specifies window l5m5 analysis done so l5m5window depricated argument also clarified documentation,CODE
926,what minimum number accelerometer axis needed meet criteria nonwear order data detected nonwear needs hard coded avoid inconsistency literature extracting basic information file,ALGORITHM
927,todo check file format version,CODE
928,ld analysis stops trick stop cat nstop reading enough data blockn,CODE
929,no idea what rest noise is for actigraph test needed,TEST
932,if tsoffset null timestamp offset artificially modified backwardscompatibility therefore undo,CODE
933,todo create automatic extraction information actigraph fileheader volunteer id stored binary file header investigator id handedness body location gender serial number,REQUIREMENTS
934,bout fall without measurement,DEFECT
935,use filename identifier,CODE
936,cwa ax6 note 18feb2020 for moment ggir ignores ax6 gyroscope signals robust sensor fusion algorithms gyroscope metrics prepared,DEFECT
939,speed testing read first blocks data ld analysis stops trick stop,TEST
940,it seems axivity store timestamp consistent position therefore need search data,CODE
941,one files starttime hidden rowname,CODE
942,one files start variable name hidden values,CODE
943,initially used apparently corrupted sometimes i using icmtztime,CODE
944,needed mam study first timestamp clock time,CODE
945,to do issue check whether object m column externalnonwear if yes use instead ggirbased nonwear unless externalnonwear false default,DEFECT
946,checks corrupt file yet maybe needed csvformat,ARCHITECTURE
947,sample frequency stored,CODE
948,this function is not used anymore by ggir gapplymetrics,CODE
949,note this work cwa files also need rcpp functions so probably best turn parallel debugging cwa data,ARCHITECTURE
951,format probably incorrect,CODE
952,spt end within double hour,CODE
953,time go back spt may ended either first second double hour to do distinguish rare cases assume ends second hour avoid sleep efficiency,REQUIREMENTS
954,time go back spt may ended either first second double hour to do distinguish rare cases assume ends second hour avoid sleep efficiency accelerometer derived sleep duration,REQUIREMENTS
955,impute sleeplog to do also implement catch sleeplog available,DESIGN
958,sleeponset wake annotations day plot sleep wake annotations suggestions welcome,REQUIREMENTS
960,data reading succesful now load last page assess whether may something wrong block data i vvh implemented temporary fix 17nov2018 would better understood source error address inside gcwaread function for example page corrupted,DEFECT
961,todo create automatic extraction information actigraph fileheader,REQUIREMENTS
962,todo create automatic extraction information monc fileheader,REQUIREMENTS
963,moved fully cleaned nights need deleted back,CODE
964,note argument includenightcrit includedaycrit used anymore depricated,CODE
967,default configurations keep hardcoded,CODE
969,hard coded assumption dynamic range 8g,CODE
970,hard coded assumption dynamic range 16g,CODE
971,adjustment needed for actigraph,ALGORITHM
972,adjustment needed for axivity,ALGORITHM
973,adjustment needed for movisens,ALGORITHM
974,measurement started minutes midnight used nasty hack measurements start minutes midnight fixed,DEFECT
975,we metrics travisci allocate enough memory,TEST
976,error occuring using humanmine the fourth column attext variable redundant prevent rbind attext refext colext,DEFECT
977,query constraints type nt attributes skip should test null instead,TEST
979,combine fuzzy simplicial set another fuzzy simplicial set generated categorical data using categorical distances the target data assumed categorical label data vector labels update fuzzy simplicial set respect label data todo optional category cardinality based weighting distance simplicialset the input fuzzy simplicial set target the categorical labels use intersection unknowndist the distance unknown label assumed point fardist the distance unmatched labels return the resulting intersected fuzzy simplicial set,REQUIREMENTS
980,possible overrides,DESIGN
981,no way compare python implementation due differences random number implementations well floating point comparison various architecture differences so ll check output ok,TEST
982,centering,TEST
985,error http error not found rate limit remaining rate limit reset utc,DEFECT
986,nocov,TEST
987,todo would make sense vectorize eg installversion c foo bar c,CODE
988,dummy package name required parsedeps,BUILD
989,todo would nice cache downloaded files like availablepackages,BUILD
990,todo r repos c published archive c published archive r repos right s latter it matters required version satisfied early repo archive late repo,BUILD
992,this real package ca nt actually build,BUILD
993,has forcelocal tar fails,CODE
994,this implements soft requirement python umap module ie package work components absent gain additional functionality components present,REQUIREMENTS
995,get warning spectral embedding abandoned,USABILITY
997,test based bug report in bug mindist ignored ab inadvertely converted na specific values r python link,TEST
998,error legacy slot detection,DEFECT
999,check assays matrices note previous versions slotted deseqdataset deseqtransform result metadata mismatches objects contain coldata rowdata,CODE
1000,this check fails bioc summarizedexperiment nolint start identical rownames rowdata rownames object nolint end,BUILD
1001,nocov end,TEST
1002,sample metrics note sample metrics used qc plots currently generated using fast rnaseq workflow this depends upon multiqc aligned counts generated star,ARCHITECTURE
1003,nocov start this step covered bcbio pipeline tests,TEST
1005,nocov start nolint start,TEST
1007,rlog regularized log transformation v0322 we re longer allowing automatic rlog calculation bcbiornaseq call s often slow however re keeping support legacy objects,REQUIREMENTS
1008,nocov,TEST
1009,we coerce data frame resize matrix row names you ca nt matrix directly otherwise ll hit subscript bounds error,CODE
1010,nocov start,TEST
1011,nocov end,TEST
1012,nocov start,TEST
1013,nocov end,TEST
1014,nocov start,TEST
1015,nocov end,TEST
1016,drop columns zeroes useful plot sometimes missing values samples others plotpcacovariates failing cases checking column numeric here ignore nas numeric column checking adding narm fixes issue,CODE
1017,nocov start,TEST
1018,nocov end,TEST
1019,given graph width height page orientation type returns best suited template to do maybe still add additional parameter pageaspectr support a4,CODE
1020,model pythonbuiltinobject working,DEFECT
1021,todo remove priority getmodule documented reticulate package,DOCUMENTATION
1022,todo find fullmatrix row column oriented,CODE
1023,since sample annoying convenience feature lenght x,CODE
1025,use matrix covers tsp atsp,CODE
1026,look optimal insertion place k later necessary convenient reuse code insertion algorithms,CODE
1028,use matrix covers tsp atsp,CODE
1029,fixme specify start city,REQUIREMENTS
1030,use matrix coveres tsp atsp,CODE
1031,hack use instead column rowannotation take account associated legend s width produce layout,CODE
1032,todo allow rotating labels,REQUIREMENTS
1033,fix infinite breaks mrange range mat narm true brange range colourscale isfinite colourscale narm true colourscale colourscale inf min mrange brange colourscale colourscale inf max mrange brange,DEFECT
1034,rescale columns todo effect rescaling rescaling makes update offset fail,DEFECT
1035,rescale columns todo effect rescaling rescaling makes update offset fail,DEFECT
1036,internal functio trick extractfeatures formatsubset,CODE
1037,todo working local functions,DEFECT
1039,keeping fits join results nmffitxn object todo improve memory management,ARCHITECTURE
1040,instantiation parameters set internally todo change target x impact nmfmodel,CODE
1041,todo restore rng state,CODE
1042,trick convenience,CODE
1043,todo valid object returning param checktrue false,CODE
1044,todo uncomment make compute mean best rss setmethod rss nmffitxn function object target rss fit object target,CODE
1045,use name key nb need special trick avoid conflict argument function,DESIGN
1046,use name key nb need special trick avoid conflict argument function,DESIGN
1047,todo test existence objective method,TEST
1048,early exit foreach backend dompi working sure,CODE
1049,todo add functionality save registered strategy file use r sessions,REQUIREMENTS
1050,we also recommend use propack svd 1st svd partial svd rankk propack optionstol remove comment line u s x lansvd a k l options remove comment line,BUILD
1051,todo allow data none ggplot instance passed factory check data,REQUIREMENTS
1052,todo allow data none ggplot instance passed factory check data,REQUIREMENTS
1053,ggplot2 ca nt rescale residuals type asis see https githubcomsinhrksggfortifyissues202,DEFECT
1054,todo may better use layer directly,CODE
1055,baseclass attr added autoplotaareg,CODE
1057,fails cran i386 components inversed,BUILD
1058,fails cran i386 components inversed,BUILD
1059,fails cran sparc components inversed,BUILD
1061,fails cran travis components inversed,BUILD
1062,not exporting function functionality exists elsewhere,DESIGN
1063,todo try parallelize nrc sentiment,ARCHITECTURE
1067,todo working rstudio pane in zomm mode works shiny,DEFECT
1068,nocov start,TEST
1069,nocov end,TEST
1070,brief hack vctrs support to replaced distributional,CODE
1072,something nt right,CODE
1074,nocov end,TEST
1075,todo use c tools,ARCHITECTURE
1076,nocov start,TEST
1077,nocov end,TEST
1078,nocov start,TEST
1080,nocov,TEST
1083,nocov start,TEST
1085,not documented p1 p2 missing switches interactive selection personal use,DOCUMENTATION
1086,nocov start,TEST
1087,nocov end,TEST
1088,nocov,TEST
1089,nocov tested single core cran nocov nocov,TEST
1090,the state unchanged chunk still processing nocov,TEST
1091,if fails first chunk likely error code stop display error message,DEFECT
1092,if fails somewhere else likely error specific point cloud return partial output display logs,DEFECT
1093,nocov start,TEST
1094,nocov end,TEST
1095,nocov start,TEST
1096,nocov end,TEST
1097,nocov start,TEST
1098,nocov end,TEST
1099,nocov,TEST
1100,nocov start,TEST
1101,nocov end,TEST
1103,nocov,TEST
1104,nocov,TEST
1105,cov,TEST
1106,function non exported sf build sf source code cran accept use operator nocov start,TEST
1107,nocov end,TEST
1108,nocov,TEST
1110,nocov nocov,TEST
1111,nocov,TEST
1112,nocov,TEST
1114,nocov fails flavor cran nocov nocov,TEST
1115,nocov start,TEST
1116,nocov end,TEST
1117,nocov start,TEST
1118,nocov end,TEST
1119,from rglsetmousecallbacks man page nocov start,TEST
1120,nocov end,TEST
1121,nocov,TEST
1122,nocov,TEST
1123,nocov,TEST
1124,nocov nocov,TEST
1126,eg future plan future multisession workers 2l nocov,TEST
1128,nocov start,TEST
1129,nocov end,TEST
1131,done outside case s null,CODE
1132,this package kind onattach behavior good oh well s first hacky solution ve put people s crap,BUILD
1133,because snowparam slow yet multicoreparam fails windows see discussion https githubcombioconductorbiocparallelissues98,ARCHITECTURE
1134,register fail todo delayedarray s fix gets,CODE
1135,code currently work need thinking indexing gtable work detail how grobs move around,DEFECT
1136,below removed old grid unit implementation deprecated,CODE
1137,fix output header show adonis2 call instead adonis0,DEFECT
1138,margin omit term turn compare complete model this involve partial terms conditions variables permutations remain similar direct reduced default models perhaps model used full models this basically similar decomposition by term compares models without term turn complete model separate calls permutestcca from vegan update model formula avoids scoping issues makes function robust embedded functions instead call ordconstrained method pass modified constraint matrix,DEFECT
1139,object must list cca objects permutations must permutation matrix assume calling function takes care function directly called users,DESIGN
1140,all models evaluated permutestcca identical permutations differences single permutations used assess significance differences fitted models this strictly requires nested models checked terms smaller model must included larger model,TEST
1142,someone really tried analyse correlation like object range,ALGORITHM
1143,the following line evaled environment formula made update fail rethink line capscale fails mysteriously point,DEFECT
1145,old behaviour,CODE
1146,undo sqrtdist sqrtdist applied first capscale must last,ARCHITECTURE
1149,see stressplotcapscale model implement goodness done nt care disable,ALGORITHM
1150,nearly zero stress usually good thing symptom problem may insufficient data nmds,CODE
1151,fortran call must quoted monomds mixed case fixed,ARCHITECTURE
1153,matching displays could done better see ordipointlabel may yet broken,DEFECT
1154,some scores accept one display workaround,REQUIREMENTS
1155,type biplot yet implemented,REQUIREMENTS
1156,grid userdefinable,CODE
1157,ad fs also allowed,CODE
1158,should work also r capabilities tiff,CODE
1159,external tcltk windows seems buggy type extensions file name extension automatically appended defaultextension interpreted wrongly value used extension correct appending done defaultextension value the following kluge tcltk documentation corrected tcltk fixed,DEFECT
1160,move labels closer points zoom fixme does nt perfect job,DEFECT
1161,it bad practice replicate specpool equations change specpool function gets sync you ashamed jari oksanen,CODE
1162,function x designdist x j terms binary much slower,ARCHITECTURE
1163,dfun kluge first item vector x must sample size rest community data this seemed easy trick evaluate dfun apply instead loop,CODE
1165,probably fails empty identical groups nan,CODE
1166,nonsequential models burnin may thinning set burnin0 leave thin like user set,REQUIREMENTS
1167,ts attributes tricky evaluate outside loop,CODE
1168,scores drops list matrix one item workaround,CODE
1170,begin anovacca test anovacca tests work subset missing values functions variables poly a12 variables data frame attached data working environment,TEST
1171,fails adonis must done detached df used instead duneenv,TEST
1172,benedicte bachelot informed us several anovacca functions failed community data name function name function name found first used instead ofa data this seems related problem sven neulinger communicated examples still faile condition strata function names however following examples failed work,DEFECT
1173,richard telford tweeted example fails work also issue githubcomvegandevsvegan,TEST
1175,capscale euclidean distances noneuclidean distances imaginary component give back data,CODE
1176,todo add test,TEST
1177,todo add test,TEST
1180,nocov start,TEST
1182,not elegant fix weights provided,CODE
1183,dirty hack avoid overridig base proptable,DESIGN
1184,nocov start nolint start,TEST
1185,nolint end nocov end,TEST
1186,todo define plot functions basicstats,REQUIREMENTS
1187,cat j n debugging todo optimize using function pops needs new function,CODE
1188,calculate corrected assignment index individuals dat genotype data frame sex vector sex labels nperm number permutations carried permutation test tailed test mean aic time todo options one tail tests include test variance fis fst call wc,TEST
1189,verify nbpop nbloc nbal,TEST
1190,this needed avoid notes visible binding r cmd check,BUILD
1191,this dummy real detection,CODE
1193,turn autocommit redshift avoid issue https githubcomohdsidatabaseconnectorissues90,VERSIONING
1194,never run,CODE
1195,set time stop ftp seems give wrong files sometimes,CODE
1196,remove bmf files bovespa equity files,CODE
1197,old code rbind slower,ARCHITECTURE
1198,fix visible binding note check utils suppressforeigncheck colnames doesnt work unfortunately seems easiest way keep check quiet variables,DEFECT
1199,fix visible binding note check utils suppressforeigncheck colnames doesnt work unfortunately seems easiest way keep check quiet variables,DEFECT
1200,check error messages response body todo api responses succeed still include warnings emit well,BUILD
1201,todo improve performance see https githubcombioconductorgooglegenomicsissues17,ARCHITECTURE
1202,todo improve performance see https githubcombioconductorgooglegenomicsissues17,ARCHITECTURE
1203,todo flatten per alt,CODE
1204,obtain genotype calls current assumption unphased need info vcf content might json fixme,DEFECT
1205,add genotype field fixme may reflect actual content gt field vcf,REQUIREMENTS
1206,prediction sometimes fails,TEST
1208,bug found cro ä¿®æ ” ¹é™å®šï¼œä¸ç§ » é™¤min type return,DEFECT
1209,generally w mainly occur winter so s seasonable assigned minval error fixed w wmin missval na much appropriate naapprox replace values range setted wmin weight based test marginal extreme value also often occur winter this step really dangerous checked usme2,ALGORITHM
1210,f weird s envinment global env environment f environment,BUILD
1211,todo remove bad one generally m7,CODE
1212,fix error tout,CODE
1213,tasklist ws exported need add iout variable,DESIGN
1214,termination criteria tricky how determine successful convergence,ALGORITHM
1215,ans yet defined set list ctrl badval,CODE
1216,bad result what ans yet defined set list failed run ctrl trace,CODE
1218,browser need fix data error,DEFECT
1219,divide multiple growing seasons update commented solve problem growing season long eg uscop i dt ypeak ypeakmin dt dt i,REQUIREMENTS
1221,triplicate hants test not perfect regions multiple growing season no one method cope situation nextend length i ibeg max first i nextend iend min last i nextend nlen,TEST
1222,blowfly model general dt set dt1 dt2 dt hardcoded initial values customized dt,CODE
1223,nocov,TEST
1224,nocov,TEST
1225,nocov,TEST
1226,nocov,TEST
1227,nocov,TEST
1229,nocov,TEST
1230,nocov nocov,TEST
1231,nocov,TEST
1232,nocov,TEST
1233,nocov,TEST
1234,nocov,TEST
1235,nocov,TEST
1236,nocov,TEST
1237,the default smoothing kernel r specpgram function weird this function creates better one,CODE
1238,trick turn types input abc format eg becomes,CODE
1239,makes copy model efficient way,ARCHITECTURE
1240,is bad idea we need forge terms inline function may used like poly gurantee env global env one used mold,CODE
1242,todo deprecate hardhat,CODE
1243,nocov end,TEST
1244,nocov start compatpurrr last updated rlang,TEST
1245,nocov end,TEST
1246,nocov start implicitly tested already,TEST
1247,nocov end,TEST
1248,only autodocument creating new packages must explicitly set pkg path,DOCUMENTATION
1250,fixme add tetsts runshinymlr possibly use shinytest https githubcomrstudioshinytest,TEST
1251,s weird bug rbinding 0row dt nonzero row dt returns 4m rows,DEFECT
1252,todo right priors first sample used determine scale,CODE
1254,todo determine bayesian flowclust works k specified different length number components given prior if add github issue fix,DEFECT
1255,hack circumvents bug flowclust todo add issue github flowclust allow prior null,DEFECT
1256,fixme currently still returning first peak want pass density instead xbetween min xbetween signal values,DEFECT
1257,todo doublecheck cutpoint minimum found via firstderiv passes secondderivative test,TEST
1258,todo come general design polygongates derived two quadrants,DESIGN
1260,fixme somehow edge attributes correctly assigned edge respectively,CODE
1261,line type somehow nt work,DEFECT
1263,peak multiple peaks select overall median shoulder cutpoint,ALGORITHM
1264,this absolute last resort make sure block never returns na due lack shoulders inflection points in case return simple min,CODE
1266,todo standardize data ppres,CODE
1267,taking quite time thus internal testing,TEST
1268,todo investigate segfault associated multicore l asinhtgml2trans,CODE
1270,skip gatingargs tcell panel since format changes due scientifc notation 1e3 nt want change csv since used elsewehere,CODE
1271,todo somehow test api extraction without supplying api key,TEST
1272,safe,CODE
1273,safe,CODE
1274,set empty array copy data structure qsorts make na,CODE
1275,make participants unique also nocond case,CODE
1276,dumb otherwise r complains unused argument,CODE
1277,todo set printing method show bootstrapped zscores factor scores stability indices,REQUIREMENTS
1278,not currently used may worth condensing monkeylearngetclassify monkeylearngetextractor,CODE
1279,not sure type output d get,CODE
1280,try loading rdata file stop nt work,DEFECT
1281,here finally decent solution tcltk issues global variables here create new environment whose parent amelia namespace we make sure gui functions use enclosure this means functions use values ameliaenv this eliminates need getamelia calls still careful since assigning values functions local nt automatically add value ameliaenv so assigning putamelia probably still makes sense we could use assign foo bar envir parentframe putamelia probably clear getamelia probably still little safe use throw error something missing whereas relying lexical scoping try use something name search path,ARCHITECTURE
1282,should find better sig figs hack,CODE
1283,maybe can remove loop,CODE
1284,note fix this currently ignores conf assumes ci95,CODE
1287,todo handle case ca nt open browser,CODE
1289,todo handle case ca nt open browser,CODE
1290,nocov start,TEST
1291,nocov end,TEST
1294,never use selfdescriptor inside self class,CODE
1296,revert par shit original state,CODE
1297,todo debug,DEFECT
1298,todo readdepth siglevellogr maxdistlogr longer use,CODE
1299,balanced check added dcw,CODE
1301,dcw much lenient logr thresholds allow anything todo this parameter pushed issegmentclonal used maybe used todo this parameter pushed issegmentclonal used maybe used,CODE
1302,make sure segment length remains todo occur needs prevented upstream,ARCHITECTURE
1303,make sure segment length remains todo occur needs prevented upstream,ARCHITECTURE
1306,todo check columns input,CODE
1307,todo check columns input,CODE
1309,authors impute2 mention parameter works best population types thus hardcoded,CODE
1310,todo this must dapted hardcode chromosome names,CODE
1311,stringsasfactor needed kept legacy purposes,CODE
1312,fixme could try harder,CODE
1313,fixme,CODE
1314,to do allow inclusion loglikelihood negative loglikelihood base delta should deltas include deltadf well,REQUIREMENTS
1315,hack protect aod method,CODE
1316,questionable,CODE
1317,semi definite use king et al method may need semidefinite could nt invert h first place nearpd wants take nonposdef matrix pdify perhaps could pdify hessian invert,ALGORITHM
1318,work around emdbook bug,DEFECT
1320,fixme warn effsamp low,CODE
1321,fixme problem bounds formulae,DEFECT
1322,residfalse stub i going use returning residuals rather mle eg minpacknls,CODE
1323,need check variable order go according functionformula start,DEFECT
1325,bug in here somewhere fixme sensitive to order of start model matrices,DEFECT
1326,fix parameters already correctly specified,CODE
1327,better way need look parameters etc,CODE
1328,isnull data islist data stop data argument must specified using formula interface bugfixme data evaluates false point regardless whether specified fixme make eval less fragile sysframe sysnframe specifies number current frame envirdata enclosparentframe actually works ok fails enigmatically,ARCHITECTURE
1329,browser minor hack store information otherwise could different numbers arguments different distributions,CODE
1330,nt work yet need eval arglist right env debugfn cat unlist arglist r n,DEFECT
1331,need logic identify correctly need pass parameters vector,REQUIREMENTS
1333,want given vector start set vecpartrue,CODE
1334,rearrange lowerupper order start fixme use names rearrange present,DEFECT
1335,redo list structure named make sure reorder useless comes l constructed,ALGORITHM
1336,eric weese end gradient function fixme try assignment appropriate environments rather replacing set env environment previously set,DEFECT
1337,nt ask get us dependency hell require optimx,DESIGN
1338,fixme profiles best method mle,DEFECT
1339,optimizer bobyqa may stripped names try restore,CODE
1340,else fullcoef coef compute termination info fixme worry parscale,DEFECT
1341,yet replaced relist reconstruct list structure v vector l original list use template,CODE
1342,ugh,CODE
1343,nt vcov x work,TEST
1344,object fullcoef object coef additional argument possible,CODE
1345,causes infinite loop unnecessary anyway bicmle2 stats4 bic,DESIGN
1346,sure work,DEFECT
1347,hack need way figure many data points absence explicit data argument replicate constant values full length,ALGORITHM
1350,hack nonmonotonic profiles z sgn sqrt abs zz,CODE
1351,cat instead warning fixme use message instead fixme nt warning,DEFECT
1352,still bad,ARCHITECTURE
1353,this logic bit frail cases high parameter curvature we probably least something cases mle2 call fails parameter gets stepped outside domain we,ARCHITECTURE
1354,added isna test tryharder case fixme add unit test,TEST
1357,attempt use uniroot,CODE
1358,fixme,DEFECT
1359,to do roll back bbmle allow multiple transects ie two sets parameters given robustification print method allow manual override ranges allow logscaling preserve order parameters 1d plots,ARCHITECTURE
1360,vectorize objective function return minus log l switching deviance screws things,DEFECT
1361,old slice method probably roll option profile include attribute warning draw differently leave conf limit lines slice function fitted usemethod slice,REQUIREMENTS
1362,this logic bit frail cases high parameter curvature we probably least something cases mle2 call fails parameter gets stepped outside domain we,ARCHITECTURE
1363,possible set 2d vectors include baseline value maybe easily,CODE
1364,fixme something elegant flatten slice list,CODE
1365,fixme robust,ARCHITECTURE
1366,fixme use drawcolorkey add legend fixme make diagonal panel text smaller,CODE
1368,fails,TEST
1369,fails,TEST
1371,i experiencing difficulties one modeling function bbmle mle2 like modeling functions r uses matchcall retrieve save original function call future use i ll describe problem bbmle show i provoke similar problem lm,DEFECT
1372,similar issue curve3d how curve work,DEFECT
1373,one value,REQUIREMENTS
1374,fixme residuals backwards,DEFECT
1375,fixme residuals backwards,DEFECT
1377,fitted mfit0 fails looks default value fixme nt expand properly need implicit lambda1 formula,DEFECT
1378,fixme fails although error errors caught profiling due npar restricted optimx,TEST
1379,work scale hand identical problem,DEFECT
1380,works ok despite warnings 1dimensional opt nm,DEFECT
1381,gets stuck investigate,DEFECT
1384,todo find solution run tests rforge,TEST
1385,fixme check results need save environmentfriendly way,DEFECT
1387,interleave gnu make conditional i hope works systems exceedance timetolive,ARCHITECTURE
1388,look fetchtimestamp method appropriate item s fetcher code bit fragile re quite darndest replicate runtime environment work common cases debuggedinspected specifying fetchtimestamp parameter viz item see next code block,ARCHITECTURE
1389,todo watch cyclic depends,DESIGN
1390,nothing,BUILD
1391,present files need mimetype mimetype filepath need specify reader folder shared mimetype vizyaml make recursive get subdirs add viz object add pattern reads files meet pattern eg csv,REQUIREMENTS
1392,todo watch cyclic depends,DESIGN
1394,unpublish nt work nt remakeyaml yet think s fine,DEFECT
1395,publishing occurred items get removed remake database files nt deleted this section not complete vizmake publish nt work testviz m time make work tests wish could run run wateruse15 vizmake publish publishedtargetfiles dir target recursivetrue fullnamestrue msgs capturemessages unpublish expecttrue grepl del msgs targets deleted needed crayon package unpublishedtargetfiles dir target recursivetrue fullnamestrue expectequal publishedtargetfiles unpublishedtargetfiles files nt changed,DEFECT
1396,hack let predictdixoncoles know add hfa,CODE
1399,dummy trick r cmd check,BUILD
1401,todo b1 s1 crossprod indep theta,CODE
1402,avoid r cmd check note,BUILD
1404,useless datacheck prevent bugs remove debugging,CODE
1405,do slots really need copied,ALGORITHM
1407,nocov end,TEST
1408,nocov end,TEST
1409,nocov,TEST
1411,nocov,TEST
1412,nocov,TEST
1413,todo should return null,CODE
1414,todo this function uses local options use global options well,CODE
1415,precheck data compatibility nullhyp comparison todo,REQUIREMENTS
1416,todo add plottrue return s3 object responds plot obj,DESIGN
1417,diffdf ever good approx todo,CODE
1418,complain parameters box constraints todo,CODE
1419,complain parameters box constraints todo,CODE
1420,return detailed results somehow todo,CODE
1421,todo user developer might someday want directly use lowlevel initialize method instead highlevel constructor function typecasting also occur,USABILITY
1422,remove slot todo,CODE
1423,maybe something smarter todo,CODE
1425,now something means to replicate old behavior set the following two lines deleted meanjac null meanhess null even though might null processed earlier,CODE
1426,todo figure certain elements fulljac end missing data missing bc colmeans zero fulljac fulljac,DEFECT
1427,try weird nonhao version,CODE
1428,remove todo,CODE
1429,todo make sure fixedeffects results look ok summary output multigroup model,REQUIREMENTS
1430,this inefficient way generate data it would better generate cpick first generate row time component expectations i nt code way api really set generating data row time,ARCHITECTURE
1431,todo add outside data reference relational data,REQUIREMENTS
1432,nocov start,TEST
1433,nocov end,TEST
1434,todo ask spiegel brick really supposed,PEOPLE
1436,todo add expected mean cov printouts,TEST
1437,todo check data raw,CODE
1438,necessary,CODE
1439,annoying,CODE
1440,todo add safety check is wls fit function does data fullweight,ARCHITECTURE
1441,nocov end,TEST
1442,nocov end,TEST
1443,just case user provided modelnamefitfunction,USABILITY
1446,model f creatematrixf model todo something restructuring lx ly needed,ALGORITHM
1447,nb th asymmetric not to path,CODE
1448,add th note switch fromto nb th asymmetric not to path,CODE
1449,todo get submodel multigroup model mi working write automatic model search algorithm forward entry start minimal base model add free parameters longer merited,REQUIREMENTS
1452,nocov end,TEST
1453,todo helpful warning message,USABILITY
1454,possible todo instead error drop bad reference carry,USABILITY
1455,not sure else case,CODE
1457,todo informative error message,USABILITY
1458,what multiple names match,ALGORITHM
1460,bit hack,CODE
1461,due demand cran maintainers default cores ompnumthreads set this seems like bad policy openmx team choice,BUILD
1462,structure matrix must fixed todo optimization possible cases part structure matrix fixed,CODE
1463,development some models transformable todo multilayered models,REQUIREMENTS
1464,might solvable split,ALGORITHM
1466,multilayer nt work missingness,DEFECT
1467,although explicit code solvetype solve happens implicitly smatrix free latentvars latentvars free saturated covariance matrix,CODE
1469,todo in nhev cases constraints nt part error covariance matrix ppml applied constraint model constraints always break,REQUIREMENTS
1470,actually right second half check happens fakelatents folded model partway pretransform phase todo maybe make second parameter maybenhev clarity,CODE
1471,important nhev missingness algorithms seem compatible,ARCHITECTURE
1472,development if irrelevant constraints analytical solution probably wrong might well try todo see breaks models development,REQUIREMENTS
1473,noninvertible cerr not valid ppml model need able invert cerr,CODE
1474,todo is missing transform m matrix,REQUIREMENTS
1477,need correction n n1 trying generate sample variance population for variances pulled transformed data cov matrix accounted however denominator means n n1,DEFECT
1478,for reason indexing character dimnames nt work fix lapply call index converts dimnames latentvars appropriate numerical indices,DEFECT
1479,analytical solution means fix means values optimizer nt bother partialsolved free nt bother do nt fix original model expected latent means free vary do nt fix missingdata case solved submodel different solution just plug use average best guess optimize simultaneously,DEFECT
1481,development this cause problems models left right model solved simultaneously will need put conditional in cases left right model solved simultaneously need wrap bigmodel put data bigmodel todo move block selectsubmodelfdata raw data extract model,DEFECT
1482,correction factor nn1 end re trying find sample variance population variance the denominator mean n n1 must corrected get sample variance tried no factor diff 9194952e2 n n1 factor diff 8420196e2 n n1 factor inside n1 n factor sqrt n n1 factor n1 n n1 n2,DEFECT
1483,todo wrap timing functions profiling,ARCHITECTURE
1484,ppml fit todo,REQUIREMENTS
1485,note not checking hessians re never close sure comparison actually meaningful,DEFECT
1486,check parameters versus parameters order simple iteration work,CODE
1487,todo check expmeans replicated,CODE
1488,estimated hessians way way far nt seem worth checking,CODE
1489,determine flags na tolerance do nt check,CODE
1490,for s special considerations necessary operating s manner breaks symmetry matrix changes output so instead directly extract labels free values operate reinsert,ALGORITHM
1491,idiot check make sure manifest manindex exists,CODE
1492,todo handle nonnull newdata todo handle multigroup models intelligently recursively,DEFECT
1493,todo ensure est always matrix,DEFECT
1494,nocov end,TEST
1495,nocov end,TEST
1496,possible todo handle case function recursion,CODE
1498,deprecated done imxflattenmodel confusingly,CODE
1500,add ability fit multiple groups if given model whose data set variables model uses variables adjust function make saturated model used variables todo check done reasonably correct todo improve interaction added ability independence model added fix variances binary variables via mxconstraint filtered expected cov,REQUIREMENTS
1501,todo adjust increment value,CODE
1502,need revisit todo,CODE
1503,refactor todo,CODE
1505,todo greml expectation nt currently way know many phenotypes every case for leave greml independence model undefined with greml expectation independence model variance phenotype fixed effects fitted model retval independencedof retval observedstatistics sum sapply obj function x length x yvars sum sapply obj imxextractslot name numfixeff,ALGORITHM
1506,this probably take account whether bounds requested consider optimizer codes also todo,REQUIREMENTS
1507,todo nt count implicit free parameters profiled,CODE
1508,todo right,CODE
1509,the tricky thing output length mxstandardizerampaths guaranteed every replication,DEFECT
1510,nocov start,TEST
1511,nocov end,TEST
1513,nocov,TEST
1514,nocov,TEST
1515,nocov,TEST
1516,nocov,TEST
1517,nocov,TEST
1518,nocov nocov,TEST
1519,nocov,TEST
1520,nocov nocov,TEST
1522,nocov,TEST
1523,nocov,TEST
1525,fixme may conflict,DEFECT
1528,compare openmx results hardcoded mx results,TEST
1529,convert raw counts todo factormodel data observed x1 unclass factormodel data observed x1 1l,TEST
1530,todo compare standard errors cbind r2 r1 r3,TEST
